id,first_name,last_name,year,email,gender,department,quiz_score,lesson_score
83,Carol,Snyder,2,carol.snyder.83@gslingacademy.com,female,Computer Science,84,93
84,Charles,Butler,1,charles.butler.84@gslingacademy.com,male,Information Technology,68,30
85,James,Dawson,2,james.dawson.85@gslingacademy.com,male,Computer Science,98,46
86,Dennis,Kim,4,dennis.kim.86@gslingacademy.com,male,Computer Science,35,74
87,Jennifer,Berry,1,jennifer.berry.87@gslingacademy.com,female,Computer Science,12,78
88,Yvette,Bridges,1,yvette.bridges.88@gslingacademy.com,female,Information Technology,54,21
89,Robert,Atkins,1,robert.atkins.89@gslingacademy.com,male,Information Technology,46,21
90,William,Brown,3,william.brown.90@gslingacademy.com,male,Information Technology,75,46
91,Patrick,Parker,1,patrick.parker.91@gslingacademy.com,male,Information Technology,31,30
92,James,Santiago,4,james.santiago.92@gslingacademy.com,male,Information Technology,43,91
93,Robert,Parsons,2,robert.parsons.93@gslingacademy.com,male,Information Technology,79,38
94,Jacob,Brown,3,jacob.brown.94@gslingacademy.com,male,Information Technology,64,65
95,Natalie,Robinson,4,natalie.robinson.95@gslingacademy.com,female,Information Technology,100,6
96,Victoria,Jones,4,victoria.jones.96@gslingacademy.com,female,Computer Science,50,12
97,Natasha,Hansen,2,natasha.hansen.97@gslingacademy.com,female,Information Technology,96,19
98,Thomas,White,4,thomas.white.98@gslingacademy.com,male,Information Technology,10,77
99,Derrick,Figueroa,4,derrick.figueroa.99@gslingacademy.com,male,Information Technology,49,7
100,Kimberly,Ward,1,kimberly.ward.100@gslingacademy.com,female,Computer Science,31,41
101,Rhonda,Jones,3,rhonda.jones.101@gslingacademy.com,female,Information Technology,13,92
102,Abigail,Perez,3,abigail.perez.102@gslingacademy.com,female,Computer Science,81,57
103,James,Yang,2,james.yang.103@gslingacademy.com,male,Information Technology,42,54
104,Stephen,Patton,3,stephen.patton.104@gslingacademy.com,male,Computer Science,39,63
105,Emma,Wright,1,emma.wright.105@gslingacademy.com,female,Information Technology,43,88
106,Cynthia,Brown,4,cynthia.brown.106@gslingacademy.com,female,Information Technology,26,44
107,Erin,Kelley,1,erin.kelley.107@gslingacademy.com,female,Information Technology,4,49
108,Benjamin,Morse,2,benjamin.morse.108@gslingacademy.com,male,Computer Science,26,57
109,Alexandra,Gibson,2,alexandra.gibson.109@gslingacademy.com,female,Information Technology,96,66
110,Phillip,Allen,3,phillip.allen.110@gslingacademy.com,male,Computer Science,28,63
111,Joshua,Gonzalez,4,joshua.gonzalez.111@gslingacademy.com,male,Computer Science,71,89
112,Erin,Jones,2,erin.jones.112@gslingacademy.com,female,Information Technology,98,97
113,Charles,Hayes,4,charles.hayes.113@gslingacademy.com,male,Computer Science,13,91
114,Kelsey,Brown,1,kelsey.brown.114@gslingacademy.com,female,Computer Science,90,67
115,Robert,Turner,3,robert.turner.115@gslingacademy.com,male,Computer Science,5,13
116,Robert,Hill,4,robert.hill.116@gslingacademy.com,male,Information Technology,7,10
117,Alyssa,Ritter,3,alyssa.ritter.117@gslingacademy.com,female,Computer Science,20,40
118,Beth,Bell,4,beth.bell.118@gslingacademy.com,female,Information Technology,69,30
119,Andrew,Dixon,3,andrew.dixon.119@gslingacademy.com,male,Computer Science,34,76
120,Crystal,Walker,4,crystal.walker.120@gslingacademy.com,female,Information Technology,64,21
121,Jordan,Bennett,4,jordan.bennett.121@gslingacademy.com,female,Information Technology,70,49
122,Antonio,Caldwell,2,antonio.caldwell.122@gslingacademy.com,male,Information Technology,75,12
123,Jacob,Reyes,3,jacob.reyes.123@gslingacademy.com,male,Computer Science,50,46
124,Wendy,Lewis,1,wendy.lewis.124@gslingacademy.com,female,Computer Science,18,98
125,Jennifer,Miller,2,jennifer.miller.125@gslingacademy.com,female,Information Technology,46,87
126,Lisa,Ware,1,lisa.ware.126@gslingacademy.com,female,Computer Science,52,56
127,Brian,Lee,4,brian.lee.127@gslingacademy.com,male,Information Technology,65,42
128,Mario,Taylor,1,mario.taylor.128@gslingacademy.com,male,Information Technology,88,71
129,Amanda,Williamson,3,amanda.williamson.129@gslingacademy.com,female,Computer Science,73,29
130,Michael,Miller,4,michael.miller.130@gslingacademy.com,male,Information Technology,29,62
131,Amanda,Vasquez,3,amanda.vasquez.131@gslingacademy.com,female,Computer Science,80,7
132,Chelsea,Obrien,3,chelsea.obrien.132@gslingacademy.com,female,Computer Science,82,49
133,Tina,Perkins,2,tina.perkins.133@gslingacademy.com,female,Information Technology,5,25
134,Cory,Perez,3,cory.perez.134@gslingacademy.com,male,Information Technology,47,67
135,Christopher,Jenkins,1,christopher.jenkins.135@gslingacademy.com,male,Information Technology,7,66
136,Joanne,Campos,1,joanne.campos.136@gslingacademy.com,female,Information Technology,33,10
137,David,Patel,4,david.patel.137@gslingacademy.com,male,Computer Science,22,79
138,Michelle,Hill,1,michelle.hill.138@gslingacademy.com,female,Computer Science,94,33
139,Jessica,Boyd,2,jessica.boyd.139@gslingacademy.com,female,Information Technology,22,94
140,Lawrence,Russell,4,lawrence.russell.140@gslingacademy.com,male,Computer Science,39,87
141,James,Singh,3,james.singh.141@gslingacademy.com,male,Information Technology,93,68
142,Marc,Villanueva,3,marc.villanueva.142@gslingacademy.com,male,Computer Science,85,54
143,Cathy,Wilson,1,cathy.wilson.143@gslingacademy.com,female,Information Technology,69,25
144,Adam,Mitchell,3,adam.mitchell.144@gslingacademy.com,male,Information Technology,75,79
145,Sherry,Phillips,1,sherry.phillips.145@gslingacademy.com,female,Computer Science,42,60
146,Victor,Jones,3,victor.jones.146@gslingacademy.com,male,Information Technology,27,100
147,Mark,Young,4,mark.young.147@gslingacademy.com,male,Computer Science,83,48
148,Matthew,Jackson,3,matthew.jackson.148@gslingacademy.com,male,Information Technology,15,85
149,Tanya,Nichols,2,tanya.nichols.149@gslingacademy.com,female,Information Technology,26,57
150,Julie,Gray,1,julie.gray.150@gslingacademy.com,female,Computer Science,80,27
151,Courtney,Perry,3,courtney.perry.151@gslingacademy.com,female,Information Technology,62,22
152,Stephen,Rodriguez,1,stephen.rodriguez.152@gslingacademy.com,male,Computer Science,34,71
153,Elizabeth,Robinson,1,elizabeth.robinson.153@gslingacademy.com,female,Computer Science,34,73
154,William,Graves,3,william.graves.154@gslingacademy.com,male,Information Technology,68,98
155,Nancy,Moore,4,nancy.moore.155@gslingacademy.com,female,Computer Science,41,66
156,Matthew,Newman,3,matthew.newman.156@gslingacademy.com,male,Information Technology,33,42
157,Anita,Moore,3,anita.moore.157@gslingacademy.com,female,Computer Science,20,74
158,Brian,Sanchez,4,brian.sanchez.158@gslingacademy.com,male,Information Technology,52,8
159,Dennis,Phillips,2,dennis.phillips.159@gslingacademy.com,male,Computer Science,44,18
160,Michael,Rivas,1,michael.rivas.160@gslingacademy.com,male,Information Technology,54,12
161,Ryan,Smith,1,ryan.smith.161@gslingacademy.com,male,Information Technology,78,78
162,Anthony,Sullivan,4,anthony.sullivan.162@gslingacademy.com,male,Information Technology,20,56
163,Troy,Shepherd,4,troy.shepherd.163@gslingacademy.com,male,Computer Science,96,21
164,Nicholas,Clayton,4,nicholas.clayton.164@gslingacademy.com,male,Computer Science,2,48
165,Denise,Schneider,4,denise.schneider.165@gslingacademy.com,female,Information Technology,90,7
166,Lisa,Silva,2,lisa.silva.166@gslingacademy.com,female,Computer Science,23,94
167,Laura,Reilly,3,laura.reilly.167@gslingacademy.com,female,Computer Science,79,54
168,Amy,Peterson,1,amy.peterson.168@gslingacademy.com,female,Computer Science,91,36
169,Fernando,Sexton,1,fernando.sexton.169@gslingacademy.com,male,Computer Science,86,71
170,Evan,Christian,3,evan.christian.170@gslingacademy.com,male,Computer Science,66,27
171,Rebecca,Norris,4,rebecca.norris.171@gslingacademy.com,female,Information Technology,6,51
172,Erica,Marks,3,erica.marks.172@gslingacademy.com,female,Information Technology,78,35
173,Rhonda,Webster,1,rhonda.webster.173@gslingacademy.com,female,Information Technology,90,26
174,John,Bennett,2,john.bennett.174@gslingacademy.com,male,Computer Science,41,84
175,Amanda,Murphy,2,amanda.murphy.175@gslingacademy.com,female,Information Technology,81,72
176,Jeremy,Barnes,2,jeremy.barnes.176@gslingacademy.com,male,Information Technology,49,93
177,John,Brown,1,john.brown.177@gslingacademy.com,male,Computer Science,59,4
178,Traci,Boyd,1,traci.boyd.178@gslingacademy.com,female,Information Technology,49,51
179,Elizabeth,Butler,1,elizabeth.butler.179@gslingacademy.com,female,Information Technology,50,73
180,Alex,Clark,1,alex.clark.180@gslingacademy.com,male,Computer Science,86,98
181,Christopher,Wolfe,4,christopher.wolfe.181@gslingacademy.com,male,Information Technology,16,25
182,Jason,Bell,2,jason.bell.182@gslingacademy.com,male,Information Technology,89,81
183,Victoria,Donaldson,2,victoria.donaldson.183@gslingacademy.com,female,Information Technology,16,67
184,Logan,Cox,3,logan.cox.184@gslingacademy.com,male,Computer Science,82,67
185,Rachel,Hill,1,rachel.hill.185@gslingacademy.com,female,Computer Science,94,12
186,Jenny,Lloyd,1,jenny.lloyd.186@gslingacademy.com,female,Computer Science,39,1
187,Joan,Cohen,4,joan.cohen.187@gslingacademy.com,female,Information Technology,55,64
188,Kimberly,Lopez,4,kimberly.lopez.188@gslingacademy.com,female,Information Technology,46,82
189,Steven,Walker,4,steven.walker.189@gslingacademy.com,male,Computer Science,16,84
190,Sonia,Bowers,3,sonia.bowers.190@gslingacademy.com,female,Computer Science,77,90
191,Penny,Perez,1,penny.perez.191@gslingacademy.com,female,Information Technology,24,91
192,Mike,Harris,1,mike.harris.192@gslingacademy.com,male,Computer Science,73,3
193,Vanessa,Sweeney,1,vanessa.sweeney.193@gslingacademy.com,female,Computer Science,34,73
194,Adam,Edwards,3,adam.edwards.194@gslingacademy.com,male,Information Technology,20,47
195,Angelica,Johnson,2,angelica.johnson.195@gslingacademy.com,female,Computer Science,43,38
196,Tiffany,Hernandez,2,tiffany.hernandez.196@gslingacademy.com,female,Information Technology,96,95
197,Mark,Myers,2,mark.myers.197@gslingacademy.com,male,Computer Science,84,62
198,Erica,Cochran,2,erica.cochran.198@gslingacademy.com,female,Computer Science,21,86
199,Karen,Watson,2,karen.watson.199@gslingacademy.com,female,Computer Science,84,88
200,Kathryn,Frazier,1,kathryn.frazier.200@gslingacademy.com,female,Computer Science,84,54
201,Anthony,Jackson,1,anthony.jackson.201@gslingacademy.com,male,Computer Science,92,58
202,Jordan,Perez,4,jordan.perez.202@gslingacademy.com,male,Computer Science,66,30
203,Jennifer,Burgess,4,jennifer.burgess.203@gslingacademy.com,female,Information Technology,22,63
204,Christina,Davis,3,christina.davis.204@gslingacademy.com,female,Information Technology,14,78
205,April,Ryan,1,april.ryan.205@gslingacademy.com,female,Information Technology,45,77
206,Maxwell,Davis,4,maxwell.davis.206@gslingacademy.com,male,Computer Science,84,92
207,Matthew,Guzman,2,matthew.guzman.207@gslingacademy.com,male,Computer Science,3,67
208,Robert,Mayer,2,robert.mayer.208@gslingacademy.com,male,Computer Science,84,30
209,Amanda,Willis,1,amanda.willis.209@gslingacademy.com,female,Computer Science,53,96
210,Michele,Thomas,3,michele.thomas.210@gslingacademy.com,female,Information Technology,4,65
211,Tim,Turner,2,tim.turner.211@gslingacademy.com,male,Information Technology,31,31
212,Joe,Strickland,4,joe.strickland.212@gslingacademy.com,male,Information Technology,31,40
213,Trevor,Cruz,1,trevor.cruz.213@gslingacademy.com,male,Information Technology,51,54
214,Melissa,Roberts,2,melissa.roberts.214@gslingacademy.com,female,Information Technology,28,58
215,Tammy,Miller,3,tammy.miller.215@gslingacademy.com,female,Information Technology,13,60
216,Chad,Morgan,4,chad.morgan.216@gslingacademy.com,male,Information Technology,42,26
217,Samantha,Maldonado,1,samantha.maldonado.217@gslingacademy.com,female,Information Technology,65,45
218,Marie,Martin,1,marie.martin.218@gslingacademy.com,female,Computer Science,55,44
219,Theresa,Tucker,3,theresa.tucker.219@gslingacademy.com,female,Computer Science,60,26
220,Joseph,Morris,3,joseph.morris.220@gslingacademy.com,male,Computer Science,36,34
221,Charles,Parker,1,charles.parker.221@gslingacademy.com,male,Information Technology,31,4
222,Rachel,Alvarez,1,rachel.alvarez.222@gslingacademy.com,female,Information Technology,29,86
223,Charles,Robertson,1,charles.robertson.223@gslingacademy.com,male,Computer Science,78,6
224,Steven,York,1,steven.york.224@gslingacademy.com,male,Computer Science,9,41
225,Robert,Dougherty,2,robert.dougherty.225@gslingacademy.com,male,Information Technology,10,15
226,Vanessa,Wheeler,1,vanessa.wheeler.226@gslingacademy.com,female,Information Technology,29,83
227,Emily,Mcclure,1,emily.mcclure.227@gslingacademy.com,female,Computer Science,36,13
228,Angela,Thomas,3,angela.thomas.228@gslingacademy.com,female,Computer Science,46,80
229,Roberto,Evans,4,roberto.evans.229@gslingacademy.com,male,Computer Science,32,77
230,Christopher,Perez,4,christopher.perez.230@gslingacademy.com,male,Computer Science,68,60
231,William,Torres,4,william.torres.231@gslingacademy.com,male,Information Technology,33,48
232,Lisa,Gardner,2,lisa.gardner.232@gslingacademy.com,female,Computer Science,12,18
233,Catherine,Owens,4,catherine.owens.233@gslingacademy.com,female,Computer Science,88,80
234,Keith,Summers,2,keith.summers.234@gslingacademy.com,male,Computer Science,86,27
235,Linda,Adams,3,linda.adams.235@gslingacademy.com,female,Computer Science,79,14
236,Michael,Wright,2,michael.wright.236@gslingacademy.com,male,Computer Science,10,1
237,Kyle,James,4,kyle.james.237@gslingacademy.com,male,Information Technology,22,66
238,Christopher,Cook,4,christopher.cook.238@gslingacademy.com,male,Computer Science,91,48
239,John,Conley,3,john.conley.239@gslingacademy.com,male,Information Technology,33,62
240,David,Barnett,2,david.barnett.240@gslingacademy.com,male,Information Technology,99,75
241,Peter,Garner,1,peter.garner.241@gslingacademy.com,male,Information Technology,83,38
242,Douglas,Stewart,4,douglas.stewart.242@gslingacademy.com,male,Information Technology,76,87
243,Heidi,Jones,3,heidi.jones.243@gslingacademy.com,female,Computer Science,9,23
244,Jeremy,Daniels,4,jeremy.daniels.244@gslingacademy.com,male,Information Technology,60,28
245,Dustin,Dodson,3,dustin.dodson.245@gslingacademy.com,male,Computer Science,53,50
246,Christopher,Cohen,1,christopher.cohen.246@gslingacademy.com,male,Computer Science,59,100
247,Willie,Ellis,1,willie.ellis.247@gslingacademy.com,male,Information Technology,31,26
248,Robert,Hawkins,2,robert.hawkins.248@gslingacademy.com,male,Information Technology,15,12
249,Stacy,Jordan,2,stacy.jordan.249@gslingacademy.com,female,Computer Science,97,17
250,Robert,Swanson,4,robert.swanson.250@gslingacademy.com,male,Computer Science,33,42
251,Holly,Henderson,3,holly.henderson.251@gslingacademy.com,female,Computer Science,63,93
252,Debra,Valdez,3,debra.valdez.252@gslingacademy.com,female,Computer Science,99,74
253,Vincent,Robertson,2,vincent.robertson.253@gslingacademy.com,male,Computer Science,25,76
254,Karen,Spencer,4,karen.spencer.254@gslingacademy.com,female,Computer Science,56,65
255,Nathan,Riley,3,nathan.riley.255@gslingacademy.com,male,Information Technology,16,18
256,Andrea,Sutton,1,andrea.sutton.256@gslingacademy.com,female,Information Technology,59,99
257,Tracey,Turner,2,tracey.turner.257@gslingacademy.com,female,Computer Science,82,90
258,Tammy,Olsen,2,tammy.olsen.258@gslingacademy.com,female,Information Technology,81,36
259,Sheila,Wilkinson,1,sheila.wilkinson.259@gslingacademy.com,female,Information Technology,75,15
260,Nathan,Padilla,4,nathan.padilla.260@gslingacademy.com,male,Information Technology,85,1
261,Sarah,Santiago,3,sarah.santiago.261@gslingacademy.com,female,Computer Science,12,47
262,Christopher,Cruz,3,christopher.cruz.262@gslingacademy.com,male,Computer Science,46,90
263,Nicholas,Sanders,1,nicholas.sanders.263@gslingacademy.com,male,Information Technology,85,29
264,Jessica,Waters,4,jessica.waters.264@gslingacademy.com,female,Computer Science,17,35
265,James,Miller,2,james.miller.265@gslingacademy.com,male,Computer Science,88,88
266,Adam,Kane,3,adam.kane.266@gslingacademy.com,male,Computer Science,53,14
267,Patricia,Gonzalez,1,patricia.gonzalez.267@gslingacademy.com,female,Computer Science,5,81
268,Whitney,Holmes,3,whitney.holmes.268@gslingacademy.com,female,Information Technology,17,37
269,Rachel,Hamilton,3,rachel.hamilton.269@gslingacademy.com,female,Information Technology,72,82
270,Melissa,Marshall,2,melissa.marshall.270@gslingacademy.com,female,Computer Science,42,31
271,Jacob,Henderson,4,jacob.henderson.271@gslingacademy.com,male,Computer Science,68,37
272,Melissa,Huerta,3,melissa.huerta.272@gslingacademy.com,female,Information Technology,33,4
273,Kevin,Camacho,3,kevin.camacho.273@gslingacademy.com,male,Computer Science,4,30
274,Anthony,Martinez,4,anthony.martinez.274@gslingacademy.com,male,Information Technology,66,21
275,Randy,Rodriguez,1,randy.rodriguez.275@gslingacademy.com,male,Information Technology,44,69
276,Patrick,Vazquez,3,patrick.vazquez.276@gslingacademy.com,male,Computer Science,82,13
277,Kim,Flores,1,kim.flores.277@gslingacademy.com,female,Computer Science,1,69
278,Robert,Salazar,3,robert.salazar.278@gslingacademy.com,male,Computer Science,8,100
279,Victoria,Vasquez,1,victoria.vasquez.279@gslingacademy.com,female,Information Technology,23,50
280,Ricardo,Macias,3,ricardo.macias.280@gslingacademy.com,male,Computer Science,57,24
281,Brandi,Bauer,2,brandi.bauer.281@gslingacademy.com,female,Information Technology,16,77
282,Jorge,Roth,3,jorge.roth.282@gslingacademy.com,male,Information Technology,90,61
283,Benjamin,Davis,2,benjamin.davis.283@gslingacademy.com,male,Computer Science,43,55
284,Nancy,Pierce,1,nancy.pierce.284@gslingacademy.com,female,Computer Science,34,33
285,Catherine,Weiss,4,catherine.weiss.285@gslingacademy.com,female,Information Technology,44,85
286,Jacob,Perez,1,jacob.perez.286@gslingacademy.com,male,Information Technology,6,53
287,Penny,Zuniga,1,penny.zuniga.287@gslingacademy.com,female,Computer Science,75,95
288,Anthony,Cox,4,anthony.cox.288@gslingacademy.com,male,Computer Science,1,86
289,Angela,Nelson,1,angela.nelson.289@gslingacademy.com,female,Computer Science,80,76
290,Lisa,White,4,lisa.white.290@gslingacademy.com,female,Computer Science,66,88
291,Robin,Parker,3,robin.parker.291@gslingacademy.com,female,Computer Science,40,98
292,Cynthia,Shields,2,cynthia.shields.292@gslingacademy.com,female,Computer Science,28,63
293,Pamela,Wilkinson,1,pamela.wilkinson.293@gslingacademy.com,female,Information Technology,65,71
294,Brenda,Nichols,3,brenda.nichols.294@gslingacademy.com,female,Information Technology,67,91
295,Laura,Rodriguez,2,laura.rodriguez.295@gslingacademy.com,female,Information Technology,48,16
296,Julie,Carey,4,julie.carey.296@gslingacademy.com,female,Computer Science,38,81
297,Barbara,Andrews,2,barbara.andrews.297@gslingacademy.com,female,Information Technology,99,30
298,Tracy,Johnson,4,tracy.johnson.298@gslingacademy.com,male,Information Technology,65,90
299,Sarah,Oconnor,3,sarah.oconnor.299@gslingacademy.com,female,Computer Science,12,29
300,Joseph,Landry,3,joseph.landry.300@gslingacademy.com,male,Information Technology,17,83
301,Terry,Chen,1,terry.chen.301@gslingacademy.com,male,Computer Science,96,39
302,Heather,Faulkner,1,heather.faulkner.302@gslingacademy.com,female,Computer Science,24,3
303,Wanda,Baxter,1,wanda.baxter.303@gslingacademy.com,female,Information Technology,44,94
304,Amanda,Davis,4,amanda.davis.304@gslingacademy.com,female,Information Technology,72,7
305,Gina,Powell,3,gina.powell.305@gslingacademy.com,female,Computer Science,100,50
306,Sabrina,Hall,3,sabrina.hall.306@gslingacademy.com,female,Information Technology,49,73
307,Lauren,Miller,4,lauren.miller.307@gslingacademy.com,female,Information Technology,79,4
308,Jessica,Diaz,1,jessica.diaz.308@gslingacademy.com,female,Computer Science,31,3
309,Ashley,Garcia,2,ashley.garcia.309@gslingacademy.com,female,Information Technology,50,33
310,Miranda,Johnson,1,miranda.johnson.310@gslingacademy.com,female,Information Technology,64,47
311,Tracy,Johnston,4,tracy.johnston.311@gslingacademy.com,female,Information Technology,65,68
312,Erik,Butler,3,erik.butler.312@gslingacademy.com,male,Information Technology,46,2
313,Tiffany,Jones,3,tiffany.jones.313@gslingacademy.com,female,Computer Science,35,78
314,Brandy,Campbell,4,brandy.campbell.314@gslingacademy.com,female,Information Technology,97,50
315,Joel,Hicks,4,joel.hicks.315@gslingacademy.com,male,Computer Science,80,75
316,John,Miller,1,john.miller.316@gslingacademy.com,male,Computer Science,24,88
317,Nancy,Jones,1,nancy.jones.317@gslingacademy.com,female,Information Technology,12,75
318,Jody,Mueller,1,jody.mueller.318@gslingacademy.com,female,Information Technology,35,15
